Student_ID,Name,Age,Gender,City,Class,Attendance_Percentage,Study_Hours_per_day,Math_Score,Science_Score,English_Score,Total_Score,Parent_Education,Internet_Access,Result,Average_Score,Study_Efficiency,Attendance_Category
1978,Bristi Khan,16.0,male,mymensingh,8,77.0,2.6,83.0,62.0,68.0,213.0,primary,no,fail,71.0,59.166666666666664,Medium
3881,hasan akter,12.0,female,dhaka,10,88.5,3.8,45.0,56.0,92.0,193.0,secondary,no,fail,64.33333333333333,40.208333333333336,High
53,Sohan Talukder,14.0,male,khulna,7,65.1,3.6,37.0,82.0,89.0,208.0,primary,no,fail,69.33333333333333,45.21739130434783,Medium
2552,Mitu Hossain,11.0,female,rajshahi,10,82.8,4.2,83.0,96.0,59.0,238.0,illiterate,no,pass,79.33333333333333,45.76923076923077,High
2247,Ayesha Ahmed,14.0,other,khulna,9,94.2,1.4,81.0,36.0,48.0,165.0,primary,no,pass,55.0,68.75,High
271,Jannat Hossain,18.0,male,sylhet,10,82.1,4.9,47.0,48.0,65.0,160.0,graduate,no,pass,53.333333333333336,27.11864406779661,High
602,Imran Ahmed,17.0,female,barishal,9,96.1,4.6,83.0,51.0,94.0,228.0,illiterate,yes,pass,76.0,40.714285714285715,High
2442,Rakib Chowdhury,12.0,female,mymensingh,10,84.0,3.5,36.0,80.0,46.0,162.0,primary,no,pass,54.0,36.0,High
3287,Nadia Islam,15.0,female,rangpur,10,83.6,5.7,76.0,75.0,64.0,215.0,primary,yes,pass,71.66666666666667,32.08955223880597,High
2968,Momo Ahmed,18.0,female,dhaka,8,77.9,1.7,65.0,92.0,30.0,187.0,higher secondary,no,pass,62.333333333333336,69.25925925925925,Medium
4713,Nusrat Talukder,14.0,female,chattogram,7,82.3,0.8,69.0,92.0,38.0,199.0,primary,yes,fail,66.33333333333333,110.55555555555556,High
9033,Rakib Das,12.0,other,mymensingh,7,75.0,3.8,32.0,37.0,77.0,146.0,postgraduate,yes,fail,48.666666666666664,30.416666666666668,Medium
1788,Mim Rahman,15.0,female,khulna,10,96.6,2.3,67.0,45.0,50.0,162.0,unknown,no,pass,54.0,49.09090909090909,High
1699,Jannat Akter,11.0,female,sylhet,10,79.2,4.8,93.0,61.0,80.0,234.0,primary,no,pass,78.0,40.3448275862069,Medium
3226,Imran Hossain,11.0,female,rangpur,7,79.0,0.7,67.0,78.0,30.0,175.0,graduate,no,fail,58.333333333333336,102.94117647058823,Medium
404,Nusrat Das,13.0,male,chattogram,10,81.2,3.9,97.0,62.0,65.0,224.0,unknown,yes,fail,74.66666666666667,45.71428571428571,High
3535,Zayed Das,15.0,female,dhaka,7,78.1,0.8,98.0,93.0,54.0,245.0,illiterate,yes,fail,81.66666666666667,136.11111111111111,Medium
6047,Zayed Rahman,11.0,male,khulna,9,92.2,3.3,90.0,51.0,85.0,226.0,graduate,yes,fail,75.33333333333333,52.55813953488372,High
3048,Imran Khan,11.0,female,rangpur,7,90.3,2.6,36.0,64.0,50.0,150.0,primary,no,pass,50.0,41.666666666666664,High
8863,Farhan Ahmed,11.0,male,rangpur,6,87.3,3.1,48.0,44.0,64.0,156.0,primary,yes,pass,52.0,38.04878048780488,High
7147,Karim Chowdhury,15.0,other,chattogram,6,85.5,4.6,60.0,64.0,64.0,188.0,higher secondary,yes,fail,62.666666666666664,33.57142857142858,High
508,Kabir Das,15.0,male,rangpur,9,84.0,3.6,65.0,63.0,38.0,166.0,graduate,yes,pass,55.333333333333336,36.08695652173913,High
STU-04477,Kabir Khan,12.0,male,chattogram,7,77.2,2.3,78.0,64.0,87.0,229.0,illiterate,yes,fail,76.33333333333333,69.39393939393939,Medium
1678,Bristi Chowdhury,12.0,male,dhaka,8,70.0,3.0,65.0,54.0,40.0,159.0,primary,yes,fail,53.0,39.75,Medium
2021,Nadia Islam,17.0,female,barishal,9,77.0,3.0,72.0,80.0,54.0,206.0,primary,yes,fail,68.66666666666667,51.5,Medium
1683,Sadia Chowdhury,14.0,female,rangpur,10,96.9,3.0,92.0,71.0,93.0,256.0,illiterate,no,fail,85.33333333333333,64.0,High
